Name,Type,Rating,Checked
Monte-Carlo Simulation,Domain,1,TRUE
MuleSoft,Technology,0,TRUE
Multiple Linear Regression,Domain,1,TRUE
MySQL,Technology,0,TRUE
Naive Bayes,Domain,4,TRUE
Natural Language Processing (NLP),Domain,0,TRUE
Network Flows,Domain,3,TRUE
Neural Networks,Domain,4,TRUE
Nifi,Technology,0,TRUE
Nonlinear Programming/Optimization,Domain,1,TRUE
NoSQL,Domain,1,TRUE
Notion Productivity Software,Technology,4,TRUE
Numpy,Technology,4,TRUE
Object-Oriented Programming (OOP),Domain,5,TRUE
Object-Relational Mapping,Domain,2,TRUE
Objective C,Language,0,TRUE
OCaml,Language,0,TRUE
Oozie,Technology,0,TRUE
OpenVINO,Technology,0,TRUE
Operations Research,Domain,1,TRUE
Oracle,Technology,1,TRUE
Orchestration Tools,Domain,0,TRUE
Pandas,Technology,5,TRUE
Parallel/Distributed Computing,Domain,0,TRUE
Parquet,Technology,1,TRUE
Perl,Language,0,TRUE
PHP,Language,0,TRUE
Pig,Technology,0,TRUE
Play,Technology,0,TRUE
PostgreSQL,Technology,4,TRUE
Power BI,Technology,0,TRUE
PowerShell,Language,3,TRUE
Predictive Modeling,Domain,2,TRUE
Principal Component Analysis,Domain,2,TRUE
Probability Theory,Domain,3,TRUE
Prophet,Technology,0,TRUE
PyCharm,Technology,4,TRUE
pyodbc,Technology,0,TRUE
PyQuil,Technology,0,TRUE
PySpark,Technology,0,TRUE
Python,Language,5,TRUE
Pytorch,Technology,0,TRUE
Q-Learning,Domain,3,TRUE
Queing Theory,Domain,1,TRUE
Query Optimization,Domain,0,TRUE
QuickBooks Online,Technology,1,TRUE
Quiskit,Technology,0,TRUE
R,Language,1,TRUE
Random Forest,Domain,0,TRUE
Ray,Technology,0,TRUE
React,Technology,0,TRUE
Reactive Programming,Domain,0,TRUE
Recommender Systems,Domain,1,TRUE
Recurrent Neural Networks (RNNs),Domain,1,TRUE
Redis,Technology,1,TRUE
Regression,Domain,3,TRUE
Reinforcement Learning,Domain,3,TRUE
Relational Algebra,Domain,4,TRUE
Relational Calculus,Domain,2,TRUE
Relational Databases,Domain,5,TRUE
REST APIs,Domain,2,TRUE
Retrieval Augmented Generation (RAG),Domain,1,TRUE
Ruby,Language,0,TRUE
Rust,Language,0,TRUE
Sagemaker,Technology,0,TRUE
Salesforce,Technology,2,TRUE
SAS,Language,0,TRUE
SBT,Technology,0,TRUE
Scala,Language,3,TRUE
Scala with Cats,Technology,0,TRUE
Scalaz,Technology,0,TRUE
Scheduling Algorithms,Domain,1,TRUE
Scikit-Learn,Technology,2,TRUE
SCIPy,Technology,1,TRUE
Scrum Methodology,Domain,0,TRUE
Seaborn,Technology,1,TRUE
Service-Oriented Architecture (SOA),Domain,0,TRUE
Set Theory,Domain,4,TRUE
Shiny,Technology,0,TRUE
Simulation Modeling,Domain,1,TRUE
Singular Value Decomposition,Domain,3,TRUE
Slack,Technology,2,TRUE
Smart Contracts,Domain,0,TRUE
Snowflake,Technology,0,TRUE
Snowflake Schema,Domain,0,TRUE
Social Networks,Domain,0,TRUE
Software as a Service (SaaS),Domain,1,TRUE
Software Design/Development,Domain,3,TRUE
Software Engineering,Domain,3,TRUE
Solidity,Technology,0,TRUE
Spark SQL,Technology,0,TRUE
Spark-Streaming,Technology,0,TRUE
Spring,Technology,0,TRUE
Spring Boot,Technology,0,TRUE
SQL,Language,5,TRUE
SQLite,Technology,4,TRUE
Sqoop,Technology,0,TRUE
